Giai Đoạn,Tuần,Chủ Đề,Tài Liệu Đính Kèm,Hành Động Thực Tế,Tiêu Chí Hoàn Thành (Senior Level),Trạng Thái
1. Nền Tảng Cốt Lõi,Tuần 01,Môi trường & Advanced SQL,Week00_Setup.html; Week01_SQL_Advanced.html,"Cài đặt Docker, viết SQL với Window Functions và CTE.","Có môi trường local sạch sẽ; hiểu Window Frame (ROWS BETWEEN).",TODO
1. Nền Tảng Cốt Lõi,Tuần 02,Tối ưu Cơ sở dữ liệu,Week06_PostgreSQL_Advanced.html; Week06_01_OracleSQL_Advanced.html,"Thực hành tạo 10 triệu dòng data, test tốc độ trước và sau khi đánh Index.","Đọc và phân tích được Execution Plan (Scan vs Seek); nắm rõ B-Tree Index.",TODO
1. Nền Tảng Cốt Lõi,Tuần 03,Python cho Data Engineering,Week02_Python_DE.html,"Viết script Python đọc file log 5GB bằng Generator để không bị OOM.","Nắm vững OOP, Exception Handling chuẩn xác, không dùng pandas cho data vượt RAM.",TODO
1. Nền Tảng Cốt Lõi,Tuần 04,Data Cleaning & Ứng dụng AI,Week03_Data_Cleaning_Claude.html; Huong-dan-su-dung-Claude-AI-hieu-qua.html,"Dùng AI viết regex, xử lý missing values, chuẩn hóa format (ngày tháng, tiền tệ).","Tốc độ code tăng x3 nhờ prompt chuẩn; làm sạch file dữ liệu bẩn 100% tự động.",TODO
2. Data Modeling,Tuần 05,Dimensional Modeling,Week05_Dimensional_Modeling.html,"Thiết kế Star Schema cho một quy trình kinh doanh (VD: Bán lẻ).","Phân biệt được Surrogate Key vs Natural Key; thiết kế đúng các chiều (Dimensions).",TODO
2. Data Modeling,Tuần 06,Fact Modeling & SCD,Week07_Fact_Modeling.html,"Viết SQL mô phỏng Slowly Changing Dimension (SCD Type 2).","Hiểu và code được SCD Type 2 (cột effective_date, end_date, is_current).",TODO
3. Tự Động Hóa & Tích Hợp,Tuần 07,Pipeline Design & CDC,Week04_Pipeline_Design.html; Week15_Data_Integration.html,"Setup Debezium/Kafka Connect để đọc thay đổi (CDC) từ Postgres.","Pipeline kéo được data thay đổi (Insert/Update) thay vì kéo full table mỗi ngày.",TODO
3. Tự Động Hóa & Tích Hợp,Tuần 08,Analytics Engineering với dbt (P1),Week08_dbt.html,"Cài dbt-core, cấu hình profiles.yml kết nối vào DWH (Postgres/BigQuery).","Viết được models cơ bản (staging, intermediate, marts).",TODO
3. Tự Động Hóa & Tích Hợp,Tuần 09,Analytics Engineering với dbt (P2),Week08_dbt.html,"Thêm dbt tests (unique, not null) và setup dbt docs.","Pipeline thất bại (Fail) khi data sai lệch, tài liệu (lineage) được tạo tự động.",TODO
3. Tự Động Hóa & Tích Hợp,Tuần 10,Điều phối Airflow (P1),Week10_Airflow.html,"Cài đặt Airflow qua Docker, viết DAG đầu tiên chạy script Python.","Hiểu các khái niệm Operator, Sensor, Task Dependency (>>).",TODO
3. Tự Động Hóa & Tích Hợp,Tuần 11,Điều phối Airflow (P2),Week10_Airflow.html,"Thực hành Idempotency và chạy Backfill data cho 30 ngày trước.","Chạy đi chạy lại 1 DAG nhiều lần không sinh ra data trùng lặp (No duplicate).",TODO
3. Tự Động Hóa & Tích Hợp,Tuần 12,Mini-Project End-to-End,Toàn bộ file Giai đoạn 1-3,"Gộp nối: CDC kéo data -> Airflow trigger -> dbt biến đổi -> Metabase.","Luồng chạy tự động hằng ngày không cần can thiệp tay.",TODO
4. Cloud & Data Warehouse,Tuần 13,Cloud Hạ tầng (AWS),Week13_Cloud_AWS.html,"Setup S3 bucket, cấu hình IAM Role hạn chế quyền truy cập.","Hiểu VPC, IAM principle of least privilege, tính năng versioning của S3.",TODO
4. Cloud & Data Warehouse,Tuần 14,Kiến trúc Data Warehouse,Week14_Data_Warehouse.html,"Phân tích bảng so sánh Redshift, BigQuery, Snowflake.","Trả lời được khi nào dùng Cloud DWH, khi nào dùng Lakehouse.",TODO
4. Cloud & Data Warehouse,Tuần 15,Modern OLAP,Week20_Modern_OLAP.html,"Setup ClickHouse local, đẩy 100M dòng và truy vấn aggregate.","Truy vấn Count/Sum trả về dưới 1 giây. Hiểu cơ chế Columnar Storage.",TODO
4. Cloud & Data Warehouse,Tuần 16,Analytical Patterns,Week21_Analytical_Patterns.html,"Viết SQL tính Retention Rate, Cohort Analysis, RFM Segmentation.","Truy vấn phức tạp phục vụ Business mà không làm sập server.",TODO
5. Big Data & Streaming,Tuần 17,Big Data & Spark (P1),Week16_Spark.html,"Setup PySpark, đọc file Parquet dung lượng lớn từ S3/Local.","Hiểu khái niệm RDD, DataFrame, Lazy Evaluation của Spark.",TODO
5. Big Data & Streaming,Tuần 18,Big Data & Spark (P2),Week16_Spark.html,"Tối ưu Spark: Tránh Data Skew, Repartition, Broadcast Join.","Biết cách đọc Spark UI, giải quyết lỗi OutOfMemory khi Shuffle.",TODO
5. Big Data & Streaming,Tuần 19,Streaming với Kafka & Flink (P1),Week18_Flink_Kafka.html,"Setup Kafka cluster nhỏ, viết Producer đẩy message, Consumer đọc message.","Hiểu Topic, Partition, Offset, Consumer Group.",TODO
5. Big Data & Streaming,Tuần 20,Streaming với Kafka & Flink (P2),Week18_Flink_Kafka.html,"Viết Flink job xử lý Window (Tumbling/Sliding) cho Clickstream data.","Phân biệt Event Time vs Processing Time, xử lý Watermark & Late Data.",TODO
6. Senior Mindset & Phỏng vấn,Tuần 21,Data Governance & Quality,DE_Interview_Handbook.html (Module 07),"Xây dựng rule Data Quality chặn data bẩn ở tầng staging.","Hiểu rõ Lineage, PII Data Masking, Ownership.",TODO
6. Senior Mindset & Phỏng vấn,Tuần 22,Monitoring & Cost Optimization,DE_Interview_Handbook.html (Module 08),"Giả lập bài toán BigQuery bill tăng x10, tìm cách tối ưu.","Hiểu FinOps, tạo guardrails giới hạn scan (Limit bytes billed).",TODO
6. Senior Mindset & Phỏng vấn,Tuần 23,Senior Architecture Mindset,DE_Interview_Handbook.html (Module 09),"Thiết kế hệ thống chịu tải lớn, viết tài liệu ADR (Architecture Decision Record).","Hiểu Trade-offs: Build vs Buy, Data Mesh vs Fabric, HA/DR (RPO/RTO).",TODO
6. Senior Mindset & Phỏng vấn,Tuần 24,Mock Interview - Modeling & DWH,DE_Interview_Handbook.html (Mod 01-03),"Thực hành trả lời 60s có kèm Ví dụ Production và Rủi ro.","Lưu loát, trả lời vượt ra khỏi định nghĩa lý thuyết suông.",TODO
6. Senior Mindset & Phỏng vấn,Tuần 25,Mock Interview - Spark & Streaming,DE_Interview_Handbook.html (Mod 04-05),"Phỏng vấn chéo về Partitioning, Shuffle, Consumer Lag, Exactly-Once.","Chứng minh được đã từng đụng tay xử lý lỗi hệ thống thực tế.",TODO
6. Senior Mindset & Phỏng vấn,Tuần 26,Mock Interview - Architecture,DE_Interview_Handbook.html (Mod 06-09),"Vẽ kiến trúc trên Whiteboard, bảo vệ quan điểm trước câu hỏi xoáy của AI.","Thể hiện được phong thái của người tư vấn giải pháp (Consultant).",TODO
7. Portfolio & Hoàn Thiện,Tuần 27,Capstone Project (Architecture),Thư mục portfolio-projects/,"Viết bản thiết kế hệ thống (Architecture Diagram) cho dự án cá nhân cuối khóa.","Bản thiết kế chuẩn chỉnh, có ghi rõ tech stack và lý do lựa chọn.",TODO
7. Portfolio & Hoàn Thiện,Tuần 28,Capstone Project (Ingestion & Storage),Thư mục portfolio-projects/,"Code luồng Ingestion (Kéo data) vào Cloud S3 / GCS.","Data hạ cánh an toàn, định dạng Parquet/Iceberg, phân vùng chuẩn.",TODO
7. Portfolio & Hoàn Thiện,Tuần 29,Capstone Project (Transform & DWH),Thư mục portfolio-projects/,"Dùng dbt xử lý dữ liệu và Airflow điều phối luồng.","DAG chạy xanh liên tục, data ở Data Warehouse đã được clean.",TODO
7. Portfolio & Hoàn Thiện,Tuần 30,Capstone Project (Analytics & Alert),Thư mục portfolio-projects/,"Tạo Dashboard và thiết lập cảnh báo (Slack/Email) khi data trễ (Freshness SLA).","Dự án end-to-end có thể demo thực tế cho nhà tuyển dụng.",TODO
7. Portfolio & Hoàn Thiện,Tuần 31,Review Portfolio & Resume,Tất cả tài liệu,"Cập nhật CV, đánh bóng Github, tổng hợp các bài blog/ADR đã viết.","CV thể hiện rõ tư duy Senior (Cost, Scale, Reliability) thay vì chỉ liệt kê tool.",TODO
7. Portfolio & Hoàn Thiện,Tuần 32,Đánh giá cuối cùng,DE_Mastery_Dashboard.html,"Sử dụng Mastery Dashboard để check tick toàn bộ kỹ năng.","Sẵn sàng phỏng vấn vị trí Senior Data Engineer. Chúc mừng bạn!",TODO
