Tháng,Tuần,Chủ Đề Trọng Tâm,Tài Liệu Đính Kèm,Hành Động Cốt Lõi,Tiêu Chí Vượt Qua Phỏng Vấn,Trạng Thái
Tháng 1: Nền tảng & Modeling,Tuần 01,SQL & Tối ưu Database,Week01_SQL_Advanced.html; Week06_PostgreSQL_Advanced.html,"Ôn tập Window Functions, CTE, Indexing.","Viết được SQL truy vấn phức tạp trên giấy, hiểu Execution Plan cơ bản.",TODO
Tháng 1: Nền tảng & Modeling,Tuần 02,Python xử lý dữ liệu,Week02_Python_DE.html,"Xử lý file CSV/JSON lớn bằng Generator, tương tác API.","Biết cách đọc file mà không làm tràn RAM (OOM), viết code Python chuẩn OOP.",TODO
Tháng 1: Nền tảng & Modeling,Tuần 03,Dimensional Modeling,Week05_Dimensional_Modeling.html,"Học cách chia bảng Fact và Dimension (Star Schema).","Phân biệt Surrogate Key, thiết kế được mô hình dữ liệu cho bài toán E-commerce.",TODO
Tháng 1: Nền tảng & Modeling,Tuần 04,Slowly Changing Dimensions,Week07_Fact_Modeling.html,"Thực hành viết logic SQL cập nhật lịch sử dữ liệu (SCD Type 2).","Trả lời được câu hỏi: 'Khi khách hàng đổi địa chỉ, lưu lịch sử thế nào?'.",TODO
Tháng 2: Modern Data Stack,Tuần 05,Data Integration & CDC,Week04_Pipeline_Design.html; Week15_Data_Integration.html,"Tìm hiểu cách đồng bộ dữ liệu: Batch vs Streaming, CDC.","Biết Incremental Load là gì, Idempotency là gì (rất hay hỏi).",TODO
Tháng 2: Modern Data Stack,Tuần 06,Analytics Engineering (dbt),Week08_dbt.html,"Cài đặt dbt, viết 1 model biến đổi dữ liệu từ staging lên mart.","Giải thích được tại sao dbt lại quan trọng, viết dbt tests cơ bản.",TODO
Tháng 2: Modern Data Stack,Tuần 07,Data Orchestration (Airflow),Week10_Airflow.html,"Viết DAG đơn giản trên Airflow để lập lịch chạy code Python.","Hiểu cơ chế lập lịch, retry khi lỗi, và cách xử lý backfill dữ liệu cũ.",TODO
Tháng 2: Modern Data Stack,Tuần 08,Cloud & Data Warehouse,Week13_Cloud_AWS.html; Week14_Data_Warehouse.html,"Đọc hiểu khái niệm S3, IAM, Redshift/BigQuery.","So sánh được Data Lake vs Data Warehouse, biết lưu file định dạng Parquet.",TODO
Tháng 3: Big Data & Project,Tuần 09,Big Data Processing (Spark),Week16_Spark.html,"Chạy thử PySpark đọc file Parquet, group by và join.","Chỉ cần hiểu kiến trúc Spark (Driver/Worker), Partitioning và Data Skew.",TODO
Tháng 3: Big Data & Project,Tuần 10,Tổng quan Streaming,Week18_Flink_Kafka.html,"Đọc hiểu cơ chế Message Queue của Kafka (Topic, Partition).","Biết Kafka là gì, khi nào nên dùng Kafka thay vì API trực tiếp.",TODO
Tháng 3: Big Data & Project,Tuần 11,Dự Án Cá Nhân (Phần 1),Thư mục portfolio-projects/,"Kéo API -> Airflow -> Lưu vào Postgres.","Xây dựng luồng Ingestion tự động hoàn toàn.",TODO
Tháng 3: Big Data & Project,Tuần 12,Dự Án Cá Nhân (Phần 2),Thư mục portfolio-projects/,"Dùng dbt biến đổi dữ liệu -> Vẽ Dashboard đơn giản.","Dự án End-to-End có kiến trúc rõ ràng, sẵn sàng đưa vào CV.",TODO
Tháng 4: Ôn Thi & Phỏng Vấn,Tuần 13,Luyện lý thuyết (DWH & Modeling),DE_Interview_Handbook.html (Module 01-03),"Đọc thuộc các ví dụ Production và Trade-offs trong Handbook.","Trả lời được 3 phần: Định nghĩa, Ví dụ thực tế và Sự đánh đổi (Trade-off).",TODO
Tháng 4: Ôn Thi & Phỏng Vấn,Tuần 14,Luyện lý thuyết (Pipeline & Cloud),DE_Interview_Handbook.html (Module 04-06),"Học cách trả lời các lỗi thường gặp khi làm Pipeline.","Chứng minh được bạn biết vận hành hệ thống chứ không chỉ biết code.",TODO
Tháng 4: Ôn Thi & Phỏng Vấn,Tuần 15,Tư duy Kiến trúc & Cost,DE_Interview_Handbook.html (Module 07-09),"Chuẩn bị câu hỏi về Cost Optimization và Data Quality.","Hiểu cách tiết kiệm tiền cho công ty khi thiết kế hệ thống.",TODO
Tháng 4: Ôn Thi & Phỏng Vấn,Tuần 16,Chuẩn bị CV & Mock Interview,DE_Interview_Handbook.html,"Sửa CV dựa trên Project ở Tuần 11-12, tập mock interview bằng AI.","Sẵn sàng Apply các vị trí Data Engineer! Chúc bạn nhận Offer.",TODO
